Date,Beat
"January 1, 2010",0623
"January 21, 2010",1111
"January 28, 2010",0711
"January 28, 2010",0221
"February 18, 2010",0932
"March 23, 2010",0912
"March 26, 2010",0624
"March 29, 2010",2531
"April 1, 2010",1524
"April 2, 2010",4420
"April 3, 2010",
"May 10, 2010",
"May 19, 2010",0632
"June 3, 2010",1112
"June 4, 2010",0524
"June 14, 2010",0322
"July 5, 2010",1532
"July 7, 2010",0713
"July 8, 2010",0662
"August 4, 2010",
"August 20, 2010",
"August 28, 2010",0612
"September 18, 2010",0934
"October 10, 2010",0423
"October 13, 2010",1632
"October 31, 2010",
"November 2, 2010",0824
"November 22, 2010",0914
"November 24, 2010",2532
